"any","ambit","valor","diferencia"
2019,"Camp de Tarragona",521286,1.2
2019,"Terres de l'Ebre",178387,-0.01
2019,"Ponent",363859,0.54
2019,"Comarques Centrals",407606,1.34
2019,"Alt Pirineu i Aran",72276,0.54
2019,"Penedès",479734,1.34
2020,"Metropolità",4963975,1.39
2020,"Comarques Gironines",766681,1.39
2020,"Camp de Tarragona",529395,1.56
2020,"Terres de l'Ebre",179574,0.67
2020,"Ponent",367016,0.87
2020,"Comarques Centrals",413112,1.35
2020,"Alt Pirineu i Aran",72913,0.88
2020,"Penedès",487813,1.68
2021,"Metropolità",4931245,-0.66
2021,"Comarques Gironines",770988,0.56
2021,"Camp de Tarragona",531487,0.4
2021,"Terres de l'Ebre",180383,0.45
2021,"Ponent",367245,0.06
2021,"Comarques Centrals",414149,0.25
2021,"Alt Pirineu i Aran",74271,1.86
2021,"Penedès",493594,1.19
